id_torneio,nome_torneio,cidade_torneio,pais_torneio,continente_torneio,latitude_torneio,longitude_torneio,altitude_torneio,superficie_torneio,total_aces_torneio
2000-352,Paris Masters,Paris,França,Europa,48.856614,2.352222,54.06916046,Carpet,692
2000-359,Bogota,Bogota,Colômbia,América do Sul,4.710989,-74.072092,2797.953857,Clay,277
2000-520,Roland Garros,Paris,França,Europa,48.856614,2.352222,54.06916046,Clay,1558
2000-620,Brighton,Brighton,Reino Unido,Europa,50.82253,-0.137163,8.187971115,Hard,330
2000-441,Long Island,Long Island,EUA,América do Norte,40.789142,-73.134961,22.11933708,Hard,464
2000-338,Sydney,Sydney,Austrália,Oceania,-33.86882,151.209296,4.215515137,Hard,325
2000-615,Dusseldorf,Dusseldorf,Alemanha,Europa,51.227741,6.773456,30.44205284,Clay,104
2000-615,Dusseldorf,Dusseldorf,Alemanha,Europa,51.227741,6.773456,30.44205284,Clay,104
2000-605,Masters Cup 2000,Lisboa,Portugal,Europa,38.7685312,-9.0962184,5.486673355102539,Hard,155
2001-580,Australian Open,Melbourne,Austrália,Oceania,-37.813628,144.963058,8.406817436,Hard,1929
2001-741,Nottingham,Nottingham,Reino Unido,Europa,52.954783,-1.158109,61.28526306,Grass,431
2001-338,Sydney,Sydney,Austrália,Oceania,-33.86882,151.209296,4.215515137,Hard,273
2001-360,Casablanca,Casablanca,Marrocos,África,33.57311,-7.589843,50.53450012,Clay,209
2001-404,Indian Wells Masters,Indian Wells,EUA,América do Norte,33.717631,-116.340755,277.1852417,Hard,713
2001-407,Rotterdam,Rotterdam,Holanda,Europa,51.8820998,4.4848757,-0.519095242023468,Hard,410
2001-402,Memphis,Memphis,EUA,América do Norte,35.149534,-90.04898,72.96620178,Hard,743
2001-403,Miami Masters,Miami,EUA,América do Norte,25.7082748,-80.1611257,-0.5187706351280212,Hard,864
2001-560,US Open,Nova Iorque,EUA,América do Norte,40.712775,-74.005973,4.262852192,Hard,2519
2001-408,Milan,Milão,Italia,Europa,45.464204,9.189982,120.706337,Carpet,444
2001-409,Atlanta,Atlanta,EUA,América do Norte,33.748995,-84.387982,308.6121521,Clay,227
2001-319,Kitzbuhel,Kitzbuhel,Austria,Europa,47.449238,12.392541,906.1345215,Clay,319
2001-311,Queen's Club,Londres,Reino Unido,Europa,51.507218,-0.127586,20.33771706,Grass,670
2001-314,Gstaad,Gstaad,Suíça,Europa,46.471759,7.286573,1402.696899,Clay,359
2001-315,Newport,Newport,EUA,América do Norte,41.490102,-71.312828,13.53820419,Grass,328
2001-316,Bastad,Bastad,Suécia,Europa,56.427389,12.847722,88.20202637,Clay,168
2001-317,Amsterdam,Amsterdam,Holanda,Europa,52.367573,4.904139,2.194350719,Clay,261
2001-520,Roland Garros,Paris,França,Europa,48.856614,2.352222,54.06916046,Clay,1690
2001-357,Stuttgart Masters,Stuttgart,Alemanha,Europa,48.775846,9.182932,327.8624878,Hard,808
2001-352,Paris Masters,Paris,França,Europa,48.856614,2.352222,54.06916046,Carpet,709
2001-451,Doha,Doha,Catar,Ásia,25.285447,51.53104,10.24268818,Hard,264
2001-359,Bogota,Bogota,Colômbia,América do Sul,4.710989,-74.072092,2797.953857,Clay,289
2001-891,Chennai,Chennai,Índia,Ásia,13.08268,80.270718,0.761829436,Hard,317
2001-890,Shanghai,Xangai,China,Ásia,31.230416,121.473701,6.564735889,Hard,202
2001-773,Bucharest,Bucareste,Romenia,Europa,44.426767,26.102538,78.06578064,Clay,208
2001-481,Copenhagen,Copenhagen,Dinamarca,Europa,55.676097,12.568337,6.147089958,Hard,230
2001-416,Rome Masters,Roma,Italia,Europa,41.902784,12.496366,37.41212463,Clay,406
2001-414,Hamburg Masters,Hamburgo,Alemanha,Europa,53.551085,9.993682,7.651072502,Clay,374
2001-410,Monte Carlo Masters,Monte Carlo,Mônaco,Europa,43.740072,7.426644,110.5124283,Clay,345
2001-419,Indianapolis,Indianapolis,EUA,América do Norte,39.768403,-86.158068,229.4706421,Hard,749
2001-418,Washington,Washington,EUA,América do Norte,47.751074,-120.740138,938.9876099,Hard,676
2001-308,Munich,Munique,Alemanha,Europa,48.135125,11.581981,523.5631714,Clay,283
2001-301,Auckland,Auckland,Nova Zelândia,Oceania,-36.850883,174.764488,11.14038277,Hard,314
2001-306,St. Poelten,Sankt Pölten,Austria,Europa,48.20353,15.63817,296.2186279,Clay,226
2001-568,St. Petersburg,São Petersburgo,Rússia,América do Norte,59.9502805,30.2894237,3.737375259399414,Hard,325
2001-468,Estoril,Estoril,Portugal,Europa,38.713315,-9.393656,3.778222322,Clay,167
2001-499,Delray Beach,Delray Beach,EUA,América do Norte,26.462489,-80.0776647,5.067657947540283,Hard,373
2001-496,Marseille,Marselha,França,Europa,43.296482,5.36978,40.33418655,Hard,473
2001-495,Dubai,Dubai,Emirados Árabes Unidos,Ásia,25.204849,55.270783,1.280532718,Hard,246
2001-429,Stockholm,Estocolmo,Suécia,Europa,59.329323,18.068581,38.17290115,Hard,405
2001-422,Cincinnati Masters,Cincinnati,EUA,América do Norte,39.103118,-84.51202,251.0748596,Hard,780
2001-423,Los Angeles,Los Angeles,EUA,América do Norte,34.052234,-118.243685,107.4480667,Hard,383
2001-421,Canada Masters,Toronto,Canadá,América do Norte,43.653226,-79.383184,66.05884552,Hard,719
2001-424,San Jose,San Jose,EUA,América do Norte,37.338208,-121.886329,118.8428268,Hard,393
2001-425,Barcelona,Barcelona,Espanha,Europa,41.387397,2.168568,42.32268524,Clay,398
2001-807,Acapulco,Acapulco,México,América do Norte,23.634501,-102.552784,1999.349609,Clay,379
2001-339,Adelaide,Adelaide,Austrália,Oceania,-34.928499,138.600746,56.32033539,Hard,274
2001-336,Hong Kong,Hong Kong,China,Ásia,22.319304,114.169361,2.659766674,Hard,363
2001-337,Vienna,Viena,Austria,Europa,48.208174,16.373819,208.9177704,Hard,285
2001-329,Tokyo,Tóquio,Japão,Ásia,35.6804,139.769017,25.86968803,Hard,514
2001-328,Basel,Basel,Suíça,Europa,47.559599,7.588576,276.7791138,Carpet,435
2001-505,Vina del Mar,Vina del Mar,Chile,América do Sul,-33.015348,-71.550028,172.776062,Clay,194
2001-506,Buenos Aires,Buenos Aires,Argentina,América do Sul,-34.603684,-58.381559,7.12301302,Clay,226
2001-500,Halle,Halle,Alemanha,Europa,51.49698,11.968803,81.90995026,Grass,392
2001-375,Lyon,Lyon,França,Europa,4.835659,45.764043,217.6715393,Carpet,365
2001-475,Sopot,Sopot,Polônia,Europa,54.441581,18.560096,65.3839035,Clay,148
2001-573,Mallorca,Maiorca,Espanha,Europa,39.695263,3.017571,76.75068665,Clay,185
2001-540,Wimbledon,Londres,Reino Unido,Europa,51.507218,-0.127586,20.33771706,Grass,2623
2001-717,Houston,Houston,EUA,América do Norte,29.760427,-95.369803,14.9013443,Clay,296
2001-439,Umag,Umago,Croácia,Europa,45.437206,13.525721,3.575510502,Clay,238
2001-438,Moscow,Moscou,Rússia,Europa,55.755826,37.6173,147.0406799,Carpet,363
2001-433,Scottsdale,Scottsdale,EUA,América do Norte,33.49417,-111.926052,398.6959839,Hard,237
2001-533,Costa Do Sauipe,Costa Do Sauipe,Brasil,América do Sul,-12.438033,-37.919165,4.36184597,Hard,274
2001-321,Stuttgart,Stuttgart,Alemanha,Europa,48.775846,9.182932,327.8624878,Clay,446
2001-325,Palermo,Palermo,Italia,Europa,38.11569,13.361487,225.9081268,Clay,228
2001-440,s-Hertogenbosch,Rosmalen,Holanda,Europa,51.717149,5.36081,2.25545454,Grass,237
2001-441,Long Island,Long Island,EUA,América do Norte,40.789142,-73.134961,22.11933708,Hard,445
2001-73,Tashkent,Toshkent,Uzbequistão,Ásia,41.299496,69.240073,444.7503357,Hard,376
2001-615,Dusseldorf,Dusseldorf,Alemanha,Europa,51.227741,6.773456,30.44205284,Clay,200
2001-605,Masters Cup 2001,Sydney,Austrália,Oceania,-33.8443,151.0599113,5.342514991760254,Hard,213
2002-499,Delray Beach,Delray Beach,EUA,América do Norte,26.462489,-80.0776647,5.067657947540283,Hard,385
2002-495,Dubai,Dubai,Emirados Árabes Unidos,Ásia,25.204849,55.270783,1.280532718,Hard,303
2002-496,Marseille,Marselha,França,Europa,43.296482,5.36978,40.33418655,Hard,625
2002-419,Indianapolis,Indianapolis,EUA,América do Norte,39.768403,-86.158068,229.4706421,Hard,584
2002-73,Tashkent,Toshkent,Uzbequistão,Ásia,41.299496,69.240073,444.7503357,Hard,463
2002-407,Rotterdam,Rotterdam,Holanda,Europa,51.8820998,4.4848757,-0.519095242023468,Hard,430
2002-404,Indian Wells Masters,Indian Wells,EUA,América do Norte,33.717631,-116.340755,277.1852417,Hard,584
2002-403,Miami Masters,Miami,EUA,América do Norte,25.7082748,-80.1611257,-0.5187706351280212,Hard,910
2002-402,Memphis,Memphis,EUA,América do Norte,35.149534,-90.04898,72.96620178,Hard,490
2002-408,Milan,Milão,Italia,Europa,45.464204,9.189982,120.706337,Carpet,509
2002-337,Vienna,Viena,Austria,Europa,48.208174,16.373819,208.9177704,Hard,298
2002-336,Hong Kong,Hong Kong,China,Ásia,22.319304,114.169361,2.659766674,Hard,375
2002-339,Adelaide,Adelaide,Austrália,Oceania,-34.928499,138.600746,56.32033539,Hard,301
2002-1536,Madrid Masters,Madri,Espanha,Europa,40.416775,-3.70379,667.6986694,Hard,555
2002-533,Costa Do Sauipe,Costa Do Sauipe,Brasil,América do Sul,-12.438033,-37.919165,4.36184597,Hard,290
2002-573,Mallorca,Maiorca,Espanha,Europa,39.695263,3.017571,76.75068665,Clay,209
2002-475,Sopot,Sopot,Polônia,Europa,54.441581,18.560096,65.3839035,Clay,162
2002-308,Munich,Munique,Alemanha,Europa,48.135125,11.581981,523.5631714,Clay,231
2002-301,Auckland,Auckland,Nova Zelândia,Oceania,-36.850883,174.764488,11.14038277,Hard,302
2002-306,St. Poelten,Sankt Pölten,Austria,Europa,48.20353,15.63817,296.2186279,Clay,238
2002-375,Lyon,Lyon,França,Europa,4.835659,45.764043,217.6715393,Carpet,609
2002-481,Copenhagen,Copenhagen,Dinamarca,Europa,55.676097,12.568337,6.147089958,Hard,272
2002-717,Houston,Houston,EUA,América do Norte,29.760427,-95.369803,14.9013443,Clay,359
2002-438,Moscow,Moscou,Rússia,Europa,55.755826,37.6173,147.0406799,Carpet,354
2002-439,Umag,Umago,Croácia,Europa,45.437206,13.525721,3.575510502,Clay,181
2002-433,Scottsdale,Scottsdale,EUA,América do Norte,33.49417,-111.926052,398.6959839,Hard,319
2002-506,Buenos Aires,Buenos Aires,Argentina,América do Sul,-34.603684,-58.381559,7.12301302,Clay,244
2002-505,Vina del Mar,Vina del Mar,Chile,América do Sul,-33.015348,-71.550028,172.776062,Clay,206
2002-500,Halle,Halle,Alemanha,Europa,51.49698,11.968803,81.90995026,Grass,361
2002-338,Sydney,Sydney,Austrália,Oceania,-33.86882,151.209296,4.215515137,Hard,276
2002-540,Wimbledon,Londres,Reino Unido,Europa,51.507218,-0.127586,20.33771706,Grass,2463
2002-468,Estoril,Estoril,Portugal,Europa,38.713315,-9.393656,3.778222322,Clay,174
2002-319,Kitzbuhel,Kitzbuhel,Austria,Europa,47.449238,12.392541,906.1345215,Clay,303
2002-311,Queen's Club,Londres,Reino Unido,Europa,51.507218,-0.127586,20.33771706,Grass,651
2002-317,Amersfoort,Amersfoort,Holanda,Europa,52.156111,5.387827,6.185717583,Clay,189
2002-316,Bastad,Bastad,Suécia,Europa,56.427389,12.847722,88.20202637,Clay,221
2002-315,Newport,Newport,EUA,América do Norte,41.490102,-71.312828,13.53820419,Grass,338
2002-314,Gstaad,Gstaad,Suíça,Europa,46.471759,7.286573,1402.696899,Clay,363
2002-429,Stockholm,Estocolmo,Suécia,Europa,59.329323,18.068581,38.17290115,Hard,341
2002-580,Australian Open,Melbourne,Austrália,Oceania,-37.813628,144.963058,8.406817436,Hard,2046
2002-425,Barcelona,Barcelona,Espanha,Europa,41.387397,2.168568,42.32268524,Clay,372
2002-424,San Jose,San Jose,EUA,América do Norte,37.338208,-121.886329,118.8428268,Hard,450
2002-421,Canada Masters,Toronto,Canadá,América do Norte,43.653226,-79.383184,66.05884552,Hard,931
2002-423,Los Angeles,Los Angeles,EUA,América do Norte,34.052234,-118.243685,107.4480667,Hard,348
2002-422,Cincinnati Masters,Cincinnati,EUA,América do Norte,39.103118,-84.51202,251.0748596,Hard,828
2002-352,Paris Masters,Paris,França,Europa,48.856614,2.352222,54.06916046,Carpet,699
2002-414,Hamburg Masters,Hamburgo,Alemanha,Europa,53.551085,9.993682,7.651072502,Clay,436
2002-451,Doha,Doha,Catar,Ásia,25.285447,51.53104,10.24268818,Hard,288
2002-773,Bucharest,Bucareste,Romenia,Europa,44.426767,26.102538,78.06578064,Clay,136
2002-416,Rome Masters,Roma,Italia,Europa,41.902784,12.496366,37.41212463,Clay,429
2002-410,Monte Carlo Masters,Monte Carlo,Mônaco,Europa,43.740072,7.426644,110.5124283,Clay,364
2002-328,Basel,Basel,Suíça,Europa,47.559599,7.588576,276.7791138,Carpet,374
2002-329,Tokyo,Tóquio,Japão,Ásia,35.6804,139.769017,25.86968803,Hard,769
2002-325,Palermo,Palermo,Italia,Europa,38.11569,13.361487,225.9081268,Clay,214
2002-321,Stuttgart,Stuttgart,Alemanha,Europa,48.775846,9.182932,327.8624878,Clay,193
2002-520,Roland Garros,Paris,França,Europa,48.856614,2.352222,54.06916046,Clay,1407
2002-741,Nottingham,Nottingham,Reino Unido,Europa,52.954783,-1.158109,61.28526306,Grass,252
2002-891,Chennai,Chennai,Índia,Ásia,13.08268,80.270718,0.761829436,Hard,318
2002-560,US Open,Nova Iorque,EUA,América do Norte,40.712775,-74.005973,4.262852192,Hard,2207
2002-441,Long Island,Long Island,EUA,América do Norte,40.789142,-73.134961,22.11933708,Hard,469
2002-440,s-Hertogenbosch,Rosmalen,Holanda,Europa,51.717149,5.36081,2.25545454,Grass,232
2002-568,St. Petersburg,São Petersburgo,Rússia,América do Norte,59.9502805,30.2894237,3.737375259399414,Hard,326
2002-807,Acapulco,Acapulco,México,América do Norte,23.634501,-102.552784,1999.349609,Clay,344
2002-360,Casablanca,Casablanca,Marrocos,África,33.57311,-7.589843,50.53450012,Clay,233
2002-418,Washington,Washington,EUA,América do Norte,47.751074,-120.740138,938.9876099,Hard,646
2002-782,Wrexham CH,Wrexham,Reino Unido,Europa,53.04304,-2.992494,66.93309021,Hard,0
2002-605,Masters Cup 2002,Shanghai,China,Ásia,31.208904,121.5627233,2.595300436019897,Hard,184
2004-360,Casablanca,Casablanca,Marrocos,África,33.57311,-7.589843,50.53450012,Clay,160
2004-505,Vina del Mar,Vina del Mar,Chile,América do Sul,-33.015348,-71.550028,172.776062,Clay,171
2004-506,Buenos Aires,Buenos Aires,Argentina,América do Sul,-34.603684,-58.381559,7.12301302,Clay,165
2004-500,Halle,Halle,Alemanha,Europa,51.49698,11.968803,81.90995026,Grass,381
2004-468,Estoril,Estoril,Portugal,Europa,38.713315,-9.393656,3.778222322,Clay,174
2004-325,Palermo,Palermo,Italia,Europa,38.11569,13.361487,225.9081268,Clay,131
2004-328,Basel,Basel,Suíça,Europa,47.559599,7.588576,276.7791138,Carpet,357
2004-329,Tokyo,Tóquio,Japão,Ásia,35.6804,139.769017,25.86968803,Hard,579
2004-429,Stockholm,Estocolmo,Suécia,Europa,59.329323,18.068581,38.17290115,Hard,492
2004-425,Barcelona,Barcelona,Espanha,Europa,41.387397,2.168568,42.32268524,Clay,468
2004-424,San Jose,San Jose,EUA,América do Norte,37.338208,-121.886329,118.8428268,Hard,529
2004-423,Los Angeles,Los Angeles,EUA,América do Norte,34.052234,-118.243685,107.4480667,Hard,424
2004-422,Cincinnati Masters,Cincinnati,EUA,América do Norte,39.103118,-84.51202,251.0748596,Hard,1092
2004-421,Canada Masters,Toronto,Canadá,América do Norte,43.653226,-79.383184,66.05884552,Hard,859
2004-499,Delray Beach,Delray Beach,EUA,América do Norte,26.462489,-80.0776647,5.067657947540283,Hard,402
2004-496,Marseille,Marselha,França,Europa,43.296482,5.36978,40.33418655,Hard,558
2004-495,Dubai,Dubai,Emirados Árabes Unidos,Ásia,25.204849,55.270783,1.280532718,Hard,260
2004-773,Bucharest,Bucareste,Romenia,Europa,44.426767,26.102538,78.06578064,Clay,154
2004-375,Lyon,Lyon,França,Europa,4.835659,45.764043,217.6715393,Carpet,424
2004-451,Doha,Doha,Catar,Ásia,25.285447,51.53104,10.24268818,Hard,319
2004-1720,Bangkok,Bangkok,Tailânia,Ásia,13.756331,100.501765175.2830352783203,3.559772491,Hard,434
2004-337,Vienna,Viena,Austria,Europa,48.208174,16.373819,208.9177704,Hard,300
2004-339,Adelaide,Adelaide,Austrália,Oceania,-34.928499,138.600746,56.32033539,Hard,283
2004-338,Sydney,Sydney,Austrália,Oceania,-33.86882,151.209296,4.215515137,Hard,376
2004-410,Monte Carlo Masters,Monte Carlo,Mônaco,Europa,43.740072,7.426644,110.5124283,Clay,310
2004-416,Rome Masters,Roma,Italia,Europa,41.902784,12.496366,37.41212463,Clay,471
2004-414,Hamburg Masters,Hamburgo,Alemanha,Europa,53.551085,9.993682,7.651072502,Clay,389
2004-418,Washington,Washington,EUA,América do Norte,47.751074,-120.740138,938.9876099,Hard,480
2004-419,Indianapolis,Indianapolis,EUA,América do Norte,39.768403,-86.158068,229.4706421,Hard,734
2004-560,US Open,Nova Iorque,EUA,América do Norte,40.712775,-74.005973,4.262852192,Hard,2388
2004-341,Metz,Metz,França,Europa,49.119309,6.175716,175.2830353,Hard,467
